di  6 jun 2017 22:59:12 CEST									
									
**Summary Stats**									
Annotation:	VDAG_Jr2_Annotation.v5.gtf								
Predictions:             	augustus.gtf	braker.gtf	BAP.gtf   	BAplus.gtf	genemark.noF.gtf	genemark.F.gtf			
		Count                    	0	0	0	0	0	0	0
		Average Length           	0	0	0	0	0	0	0
		Median Length            	0	0	0	0	0	0	0
		Total Length             	0	0	0	0	0	0	0
		Average Score            	0	0	0	0	0	0	0
		Total Score              	0	0	0	0	0	0	0
Nuc									
	All                      								
		Count                    	6424201	6552100	6280628	6488053	6395595	6361549	6346460
	Initial                  								
		Count                    	0	0	0	0	0	0	0
	Internal                 								
		Count                    	6424201	6552100	6280628	6488053	6395595	6361549	6346460
	Terminal                 								
		Count                    	0	0	0	0	0	0	0
	Single                   								
		Count                    	0	0	0	0	0	0	0
	UTR3                     								
		Count                    	2230826	0	0	0	0	0	0
	UTR5                     								
		Count                    	2565856	0	0	0	0	0	0
	Intron                   								
		Count                    	1207249	1512377	1581351	1481770	1261595	2357639	1746740
	InframeOptional          								
		Count                    	0	0	117	0	0	0	0
	FrameshiftOptional       								
		Count                    	0	0	0	0	0	0	0
Signal									
	Splice Acceptor          								
		Count                    	28142	28247	27095	28927	27476	27096	27546
	Splice Donor             								
		Count                    	28142	28247	27095	28927	27476	27096	27546
	Start Codon              								
		Count                    	0	0	0	0	0	0	0
	Stop Codon               								
		Count                    	0	0	0	0	0	0	0
									
									
**Detailed Stats**									
Annotation:	VDAG_Jr2_Annotation.v5.gtf								
Predictions:	                         augustus.gtf	braker.gtf	BAP.gtf   	BAplus.gtf	genemark.noF.gtf	genemark.F.gtf			
Gene									
	All								
		Count                    	10311	9622	10515	10230	9549	9976	
		Ann Count                	11426	11426	11426	11426	11426	11426	
		Total Transcripts        	10311	9809	10515	10230	9549	9976	
		Transcripts Per          	1	1.02	1	1	1	1	
		Consistent Pred Count    	5469	5800	6004	6447	4846	5413	
		Consistent Ann Count     	5469	5800	6004	6447	4846	5413	
		Consistent Specificity   	53.04%	60.28%	57.10%	63.02%	50.75%	54.26%	
		Consistent Sensitivity   	47.86%	50.76%	52.55%	56.42%	42.41%	47.37%	
		Exact Pred Count         	5462	5795	6001	6444	4843	5409	
		Exact Ann Count          	5462	5795	6001	6444	4843	5409	
		Exact Specificity        	52.97%	60.23%	57.07%	62.99%	50.72%	54.22%	
		Exact Sensitivity        	47.80%	50.72%	52.52%	56.40%	42.39%	47.34%	
		Full Exact Pred Count    	0	0	0	0	0	0	
		Full Exact Ann Count     	0	0	0	0	0	0	
		Full Exact Specificity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Full Exact Sensitivity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Genomic Overlap Pred Count	10240	9571	10440	10173	9497	9915	
		Genomic Overlap Ann Count	11154	11044	11151	11093	11075	11103	
		Genomic Overlap Specificity	99.31%	99.47%	99.29%	99.44%	99.46%	99.39%	
		Genomic Overlap Sensitivity	97.62%	96.66%	97.59%	97.09%	96.93%	97.17%	
		CDS Overlap Pred Count   	10205	9542	10401	10136	9475	9882	
		CDS Overlap Ann Count    	11083	10944	11081	11016	10963	11009	
		CDS Overlap Specificity  	98.97%	99.17%	98.92%	99.08%	99.23%	99.06%	
		CDS Overlap Sensitivity  	97.00%	95.78%	96.98%	96.41%	95.95%	96.35%	
		All Introns Pred Count   	5162	5952	5929	6118	4929	5511	
		All Introns Ann Count    	5245	6038	5989	6151	4996	5561	
		All Introns Specificity  	50.06%	61.86%	56.39%	59.80%	51.62%	55.24%	
		All Introns Sensitivity  	45.90%	52.84%	52.42%	53.83%	43.72%	48.67%	
		Exact UTR5 Pred Count    	0	0	0	0	0	0	
		Exact UTR5 Ann Count     	0	0	0	0	0	0	
		Exact UTR5 Specificity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Exact UTR5 Sensitivity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Exact UTR3 Pred Count    	0	0	0	0	0	0	
		Exact UTR3 Ann Count     	0	0	0	0	0	0	
		Exact UTR3 Specificity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Exact UTR3 Sensitivity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Exact Intron Pred Count  	6469	6618	6810	6800	6183	6525	
		Exact Intron Ann Count   	6645	6743	6902	6839	6352	6618	
		Exact Intron Specificity 	62.74%	68.78%	64.76%	66.47%	64.75%	65.41%	
		Exact Intron Sensitivity 	58.16%	59.01%	60.41%	59.85%	55.59%	57.92%	
		Exact Exon Pred Count    	8231	8010	8454	8381	7589	7917	
		Exact Exon Ann Count     	8382	8116	8530	8411	7742	8008	
		Exact Exon Specificity   	79.83%	83.25%	80.40%	81.93%	79.47%	79.36%	
		Exact Exon Sensitivity   	73.36%	71.03%	74.65%	73.61%	67.76%	70.09%	
		Start Codon Pred Count   	0	0	0	0	0	0	
		Start Codon Ann Count    	0	0	0	0	0	0	
		Start Codon Specificity  	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Start Codon Sensitivity  	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Stop Codon Pred Count    	0	0	0	0	0	0	
		Stop Codon Ann Count     	0	0	0	0	0	0	
		Stop Codon Specificity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Stop Codon Sensitivity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Start Stop Pred Count    	0	0	0	0	0	0	
		Start Stop Ann Count     	0	0	0	0	0	0	
		Start Stop Specificity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Start Stop Sensitivity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
Transcript									
	All								
		Count                    	10311	9809	10515	10230	9549	9976	
		Ann Count                	11438	11438	11438	11438	11438	11438	
		Average Length           	1767.02	1691.85	1689.82	1639.42	1882.73	1699.93	
		Median Length            	1450	1407	1400	1371	1464	1393	
		Total Length             	18219758	16595361	17768497	16771269	17978182	16958465	
		Average Coding Length    	1599.46	1503.73	1529.53	1502.52	1574.03	1495.5	
		Median Coding Length     	1317	1257	1263	1251	1296	1245	
		Total Coding Length      	16492067	14750108	16082994	15370746	15030432	14919127	
		Average Score            	0	0	0	0	0	0	
		Total Score              	0	0	0	0	0	0	
		Ave Exons Per            	2.74	2.78	2.75	2.69	2.84	2.76	
		Med Exons Per            	2	2	2	2	2	2	
		Total Exons              	28247	27279	28927	27476	27096	27546	
		Consistent Pred Count    	5469	5800	6004	6447	4846	5413	
		Consistent Ann Count     	5469	5801	6004	6449	4847	5414	
		Consistent Specificity   	53.04%	59.13%	57.10%	63.02%	50.75%	54.26%	
		Consistent Sensitivity   	47.81%	50.72%	52.49%	56.38%	42.38%	47.33%	
		Exact Pred Count         	5462	5795	6001	6444	4843	5409	
		Exact Ann Count          	5462	5796	6001	6446	4844	5410	
		Exact Specificity        	52.97%	59.08%	57.07%	62.99%	50.72%	54.22%	
		Exact Sensitivity        	47.75%	50.67%	52.47%	56.36%	42.35%	47.30%	
		Full Exact Pred Count    	0	0	0	0	0	0	
		Full Exact Ann Count     	0	0	0	0	0	0	
		Full Exact Specificity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Full Exact Sensitivity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Genomic Overlap Pred Count	10240	9758	10440	10173	9497	9915	
		Genomic Overlap Ann Count	11166	11056	11163	11105	11087	11115	
		Genomic Overlap Specificity	99.31%	99.48%	99.29%	99.44%	99.46%	99.39%	
		Genomic Overlap Sensitivity	97.62%	96.66%	97.60%	97.09%	96.93%	97.18%	
		CDS Overlap Pred Count   	10205	9728	10401	10136	9475	9882	
		CDS Overlap Ann Count    	11095	10955	11093	11028	10974	11020	
		CDS Overlap Specificity  	98.97%	99.17%	98.92%	99.08%	99.23%	99.06%	
		CDS Overlap Sensitivity  	97.00%	95.78%	96.98%	96.42%	95.94%	96.35%	
		All Introns Pred Count   	5162	5961	5929	6118	4929	5511	
		All Introns Ann Count    	5249	6045	5993	6155	4999	5564	
		All Introns Specificity  	50.06%	60.77%	56.39%	59.80%	51.62%	55.24%	
		All Introns Sensitivity  	45.89%	52.85%	52.40%	53.81%	43.71%	48.64%	
		Exact UTR5 Pred Count    	0	0	0	0	0	0	
		Exact UTR5 Ann Count     	0	0	0	0	0	0	
		Exact UTR5 Specificity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Exact UTR5 Sensitivity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Exact UTR3 Pred Count    	0	0	0	0	0	0	
		Exact UTR3 Ann Count     	0	0	0	0	0	0	
		Exact UTR3 Specificity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Exact UTR3 Sensitivity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Exact Intron Pred Count  	6469	6663	6810	6800	6183	6525	
		Exact Intron Ann Count   	6652	6752	6909	6847	6357	6623	
		Exact Intron Specificity 	62.74%	67.93%	64.76%	66.47%	64.75%	65.41%	
		Exact Intron Sensitivity 	58.16%	59.03%	60.40%	59.86%	55.58%	57.90%	
		Exact Exon Pred Count    	8231	8059	8454	8381	7589	7917	
		Exact Exon Ann Count     	8387	8124	8535	8419	7747	8013	
		Exact Exon Specificity   	79.83%	82.16%	80.40%	81.93%	79.47%	79.36%	
		Exact Exon Sensitivity   	73.33%	71.03%	74.62%	73.61%	67.73%	70.06%	
		Start Codon Pred Count   	0	0	0	0	0	0	
		Start Codon Ann Count    	0	0	0	0	0	0	
		Start Codon Specificity  	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Start Codon Sensitivity  	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Stop Codon Pred Count    	0	0	0	0	0	0	
		Stop Codon Ann Count     	0	0	0	0	0	0	
		Stop Codon Specificity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Stop Codon Sensitivity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Start Stop Pred Count    	0	0	0	0	0	0	
		Start Stop Ann Count     	0	0	0	0	0	0	
		Start Stop Specificity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Start Stop Sensitivity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
	Complete								
		Count                    	0	0	0	0	0	0	
		Ann Count                	0	0	0	0	0	0	
		Average Length           	0	0	0	0	0	0	
		Median Length            	0	0	0	0	0	0	
		Total Length             	0	0	0	0	0	0	
		Average Coding Length    	0	0	0	0	0	0	
		Median Coding Length     	0	0	0	0	0	0	
		Total Coding Length      	0	0	0	0	0	0	
		Average Score            	0	0	0	0	0	0	
		Total Score              	0	0	0	0	0	0	
		Ave Exons Per            	0	0	0	0	0	0	
		Med Exons Per            	0	0	0	0	0	0	
		Total Exons              	0	0	0	0	0	0	
		Consistent Pred Count    	0	0	0	0	0	0	
		Consistent Ann Count     	0	0	0	0	0	0	
		Consistent Specificity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Consistent Sensitivity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Exact Pred Count         	0	0	0	0	0	0	
		Exact Ann Count          	0	0	0	0	0	0	
		Exact Specificity        	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Exact Sensitivity        	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Full Exact Pred Count    	0	0	0	0	0	0	
		Full Exact Ann Count     	0	0	0	0	0	0	
		Full Exact Specificity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Full Exact Sensitivity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Genomic Overlap Pred Count	0	0	0	0	0	0	
		Genomic Overlap Ann Count	0	0	0	0	0	0	
		Genomic Overlap Specificity	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Genomic Overlap Sensitivity	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		CDS Overlap Pred Count   	0	0	0	0	0	0	
		CDS Overlap Ann Count    	0	0	0	0	0	0	
		CDS Overlap Specificity  	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		CDS Overlap Sensitivity  	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		All Introns Pred Count   	0	0	0	0	0	0	
		All Introns Ann Count    	0	0	0	0	0	0	
		All Introns Specificity  	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		All Introns Sensitivity  	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Exact UTR5 Pred Count    	0	0	0	0	0	0	
		Exact UTR5 Ann Count     	0	0	0	0	0	0	
		Exact UTR5 Specificity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Exact UTR5 Sensitivity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Exact UTR3 Pred Count    	0	0	0	0	0	0	
		Exact UTR3 Ann Count     	0	0	0	0	0	0	
		Exact UTR3 Specificity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Exact UTR3 Sensitivity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Exact Intron Pred Count  	0	0	0	0	0	0	
		Exact Intron Ann Count   	0	0	0	0	0	0	
		Exact Intron Specificity 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Exact Intron Sensitivity 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Exact Exon Pred Count    	0	0	0	0	0	0	
		Exact Exon Ann Count     	0	0	0	0	0	0	
		Exact Exon Specificity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Exact Exon Sensitivity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Start Codon Pred Count   	0	0	0	0	0	0	
		Start Codon Ann Count    	0	0	0	0	0	0	
		Start Codon Specificity  	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Start Codon Sensitivity  	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Stop Codon Pred Count    	0	0	0	0	0	0	
		Stop Codon Ann Count     	0	0	0	0	0	0	
		Stop Codon Specificity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Stop Codon Sensitivity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Start Stop Pred Count    	0	0	0	0	0	0	
		Start Stop Ann Count     	0	0	0	0	0	0	
		Start Stop Specificity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Start Stop Sensitivity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
	Incomplete								
		Count                    	10311	9809	10515	10230	9549	9976	
		Ann Count                	11438	11438	11438	11438	11438	11438	
		Average Length           	1767.02	1691.85	1689.82	1639.42	1882.73	1699.93	
		Median Length            	1450	1407	1400	1371	1464	1393	
		Total Length             	18219758	16595361	17768497	16771269	17978182	16958465	
		Average Coding Length    	1599.46	1503.73	1529.53	1502.52	1574.03	1495.5	
		Median Coding Length     	1317	1257	1263	1251	1296	1245	
		Total Coding Length      	16492067	14750108	16082994	15370746	15030432	14919127	
		Average Score            	0	0	0	0	0	0	
		Total Score              	0	0	0	0	0	0	
		Ave Exons Per            	2.74	2.78	2.75	2.69	2.84	2.76	
		Med Exons Per            	2	2	2	2	2	2	
		Total Exons              	28247	27279	28927	27476	27096	27546	
		Consistent Pred Count    	5469	5800	6004	6447	4846	5413	
		Consistent Ann Count     	5469	5801	6004	6449	4847	5414	
		Consistent Specificity   	53.04%	59.13%	57.10%	63.02%	50.75%	54.26%	
		Consistent Sensitivity   	47.81%	50.72%	52.49%	56.38%	42.38%	47.33%	
		Exact Pred Count         	5462	5795	6001	6444	4843	5409	
		Exact Ann Count          	5462	5796	6001	6446	4844	5410	
		Exact Specificity        	52.97%	59.08%	57.07%	62.99%	50.72%	54.22%	
		Exact Sensitivity        	47.75%	50.67%	52.47%	56.36%	42.35%	47.30%	
		Full Exact Pred Count    	0	0	0	0	0	0	
		Full Exact Ann Count     	0	0	0	0	0	0	
		Full Exact Specificity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Full Exact Sensitivity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Genomic Overlap Pred Count	10240	9758	10440	10173	9497	9915	
		Genomic Overlap Ann Count	11166	11056	11163	11105	11087	11115	
		Genomic Overlap Specificity	99.31%	99.48%	99.29%	99.44%	99.46%	99.39%	
		Genomic Overlap Sensitivity	97.62%	96.66%	97.60%	97.09%	96.93%	97.18%	
		CDS Overlap Pred Count   	10205	9728	10401	10136	9475	9882	
		CDS Overlap Ann Count    	11095	10955	11093	11028	10974	11020	
		CDS Overlap Specificity  	98.97%	99.17%	98.92%	99.08%	99.23%	99.06%	
		CDS Overlap Sensitivity  	97.00%	95.78%	96.98%	96.42%	95.94%	96.35%	
		All Introns Pred Count   	5162	5961	5929	6118	4929	5511	
		All Introns Ann Count    	5249	6045	5993	6155	4999	5564	
		All Introns Specificity  	50.06%	60.77%	56.39%	59.80%	51.62%	55.24%	
		All Introns Sensitivity  	45.89%	52.85%	52.40%	53.81%	43.71%	48.64%	
		Exact UTR5 Pred Count    	0	0	0	0	0	0	
		Exact UTR5 Ann Count     	0	0	0	0	0	0	
		Exact UTR5 Specificity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Exact UTR5 Sensitivity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Exact UTR3 Pred Count    	0	0	0	0	0	0	
		Exact UTR3 Ann Count     	0	0	0	0	0	0	
		Exact UTR3 Specificity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Exact UTR3 Sensitivity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Exact Intron Pred Count  	6469	6663	6810	6800	6183	6525	
		Exact Intron Ann Count   	6652	6752	6909	6847	6357	6623	
		Exact Intron Specificity 	62.74%	67.93%	64.76%	66.47%	64.75%	65.41%	
		Exact Intron Sensitivity 	58.16%	59.03%	60.40%	59.86%	55.58%	57.90%	
		Exact Exon Pred Count    	8231	8059	8454	8381	7589	7917	
		Exact Exon Ann Count     	8387	8124	8535	8419	7747	8013	
		Exact Exon Specificity   	79.83%	82.16%	80.40%	81.93%	79.47%	79.36%	
		Exact Exon Sensitivity   	73.33%	71.03%	74.62%	73.61%	67.73%	70.06%	
		Start Codon Pred Count   	0	0	0	0	0	0	
		Start Codon Ann Count    	0	0	0	0	0	0	
		Start Codon Specificity  	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Start Codon Sensitivity  	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Stop Codon Pred Count    	0	0	0	0	0	0	
		Stop Codon Ann Count     	0	0	0	0	0	0	
		Stop Codon Specificity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Stop Codon Sensitivity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Start Stop Pred Count    	0	0	0	0	0	0	
		Start Stop Ann Count     	0	0	0	0	0	0	
		Start Stop Specificity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Start Stop Sensitivity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
	Single Exon								
		Count                    	0	0	0	0	0	0	
		Ann Count                	0	0	0	0	0	0	
		Average Length           	0	0	0	0	0	0	
		Median Length            	0	0	0	0	0	0	
		Total Length             	0	0	0	0	0	0	
		Average Coding Length    	0	0	0	0	0	0	
		Median Coding Length     	0	0	0	0	0	0	
		Total Coding Length      	0	0	0	0	0	0	
		Average Score            	0	0	0	0	0	0	
		Total Score              	0	0	0	0	0	0	
		Ave Exons Per            	0	0	0	0	0	0	
		Med Exons Per            	0	0	0	0	0	0	
		Total Exons              	0	0	0	0	0	0	
		Consistent Pred Count    	0	0	0	0	0	0	
		Consistent Ann Count     	0	0	0	0	0	0	
		Consistent Specificity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Consistent Sensitivity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Exact Pred Count         	0	0	0	0	0	0	
		Exact Ann Count          	0	0	0	0	0	0	
		Exact Specificity        	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Exact Sensitivity        	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Full Exact Pred Count    	0	0	0	0	0	0	
		Full Exact Ann Count     	0	0	0	0	0	0	
		Full Exact Specificity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Full Exact Sensitivity   	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Genomic Overlap Pred Count	0	0	0	0	0	0	
		Genomic Overlap Ann Count	0	0	0	0	0	0	
		Genomic Overlap Specificity	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		Genomic Overlap Sensitivity	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		CDS Overlap Pred Count   	0	0	0	0	0	0	
		CDS Overlap Ann Count    	0	0	0	0	0	0	
		CDS Overlap Specificity  	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
		CDS Overlap Sensitivity  	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
