annot,Count                    ,Exact Pred Count         ,Exact Specificity        ,Exact Sensitivity        ,accuracy,genome,pipeline,intron match ,intron pred,intron RNA,sens_intro,spe_intro,acc_intro
BAPplus.LoReAn_FGS_Fu.gtf,9855,5785,0.5870,0.5067,0.5469,f,p,12831,16963,18574,75.64110122,69.08043502,72.36076812
BAPplus.LoReAn_MGS.gtf,9019,4263,0.4727,0.3734,0.4231,m,p,12019,17805,18574,67.50351025,64.70873264,66.10612144
BAPplus.LoReAn_MGS_Br.gtf,8692,3509,0.4037,0.3076,0.3557,m,p,11360,17839,18574,63.68069959,61.16076236,62.42073097
BAPplus.LoReAn_MGS_Br_Fu.gtf,8929,3663,0.4102,0.3209,0.3656,m,p,11750,18061,18574,65.0573058,63.26047163,64.15888871
BAPplus.LoReAn_MGS_Fu.gtf,9301,4392,0.4722,0.3847,0.4285,m,p,12429,18138,18574,68.52464439,66.91611931,67.72038185
BAPplus.LoReAn_pMGS.gtf,9168,5327,0.5810,0.4665,0.5238,p,p,12234,16141,18574,75.79456044,65.86626467,70.83041255
BAPplus.LoReAn_pMGS_Br.gtf,8913,5048,0.5664,0.4422,0.5043,p,p,11753,15604,18574,75.32043066,63.27662324,69.29852695
BAPplus.LoReAn_pMGS_Br_Fu.gtf,9125,5286,0.5793,0.4630,0.5212,p,p,12161,15932,18574,76.33065528,65.47324217,70.90194873
BAPplus.LoReAn_pMGS_Fu.gtf,9469,5630,0.5946,0.4931,0.5439,p,p,12694,16507,18574,76.90070879,68.34284484,72.62177681
augustus.gtf,10311,5458,0.5293,0.4778,0.5036,,,11857,17936,18574,66.10727029,63.83654571,64.971908
Braker.gtf,9108,4952,0.5437,0.4337,0.4887,,,11491,16230,18574,70.80098583,61.86604932,66.33351757
CodingQuarry.gtf,10287,5859,0.5696,0.5072,0.5384,,,12021,15022,18574,80.02263347,64.71950038,72.37106692
GeneMArks.gtf,9549,4839,0.5068,0.4237,0.4653,,,11275,17547,18574,64.25599818,60.70313341,62.47956579
GeneMArks_Fu.gtf,9978,5426,0.5438,0.4753,0.5096,,,12323,17597,18574,70.02898221,66.34542909,68.18720565
maker.gtf ,10426,5683,0.5451,0.4977,0.5214,,,12509,18412,18574,67.93938736,67.3468289,67.64310813
